scope,alpha,segment,weight,component_VaR_pct,share_VaR_%,component_ES_pct,share_ES_%,VaR_portfolio_pct,ES_portfolio_pct
R3,99%,MBS,0.14285714285714285,-0.07625316324377407,13.055447903590187,-0.09273096080346627,13.201365725877642,-0.5840715983616679,-0.702434602063124
R4,95%,OFZ_short,0.14285714285714285,-0.0710051563754269,12.27527421594581,-0.09764270961447281,12.21349289065706,-0.5784404904225265,-0.7994658898042708
R4,95%,OFZ_med,0.14285714285714285,-0.029822483835544755,5.155670173393408,-0.042041606731050285,5.258711755837778,-0.5784404904225265,-0.7994658898042708
R4,95%,OFZ_long,0.14285714285714285,-0.05870631921591676,10.149068087027283,-0.08170834333807162,10.220366419644979,-0.5784404904225265,-0.7994658898042708
R4,95%,Corp_L1,0.14285714285714285,-0.09693256320711092,16.757568809940285,-0.13650073237559526,17.073990787651248,-0.5784404904225265,-0.7994658898042708
R4,95%,Corp_L2,0.14285714285714285,-0.04602026223525438,7.955919925598311,-0.06293975478892508,7.872725477297637,-0.5784404904225265,-0.7994658898042708
R4,95%,Corp_L3,0.14285714285714285,-0.12729414934126884,22.00643825059442,-0.17358477020058652,21.712592421308234,-0.5784404904225265,-0.7994658898042708
R4,95%,MBS,0.14285714285714285,-0.14865955621200397,25.700060537500473,-0.20504797275556919,25.648120247603064,-0.5784404904225265,-0.7994658898042708
R4,99%,OFZ_short,0.14285714285714285,-0.11320774225935433,12.191005709607413,-0.14153164270392432,12.162891798035943,-0.92861692427999,-1.1636348086791233
R4,99%,OFZ_med,0.14285714285714285,-0.04918156606040702,5.296216854817751,-0.062174246630818934,5.343106459783099,-0.92861692427999,-1.1636348086791233
R4,99%,OFZ_long,0.14285714285714285,-0.09514903937898611,10.246317603220577,-0.11960725577044198,10.278762278193772,-0.92861692427999,-1.1636348086791233
R4,99%,Corp_L1,0.14285714285714285,-0.1596214687014408,17.189162132189708,-0.20169458533661555,17.333151589506432,-0.92861692427999,-1.1636348086791233
R4,99%,Corp_L2,0.14285714285714285,-0.07282626544436645,7.842444342787832,-0.0908168826141278,7.804586278852967,-0.92861692427999,-1.1636348086791233
R4,99%,Corp_L3,0.14285714285714285,-0.2006336143027905,21.605638348488345,-0.24985476179222155,21.47192228426367,-0.92861692427999,-1.1636348086791233
R4,99%,MBS,0.14285714285714285,-0.23799722813264476,25.629215008888366,-0.29795543383097306,25.605579311364124,-0.92861692427999,-1.1636348086791233
